ItemID	Accessories Included	Accessory Type	Bag Color	Bag Depth	Bag Height	Bag Length	Bag Material	Bag Width	Ball Valve Lockout Type	Base Clamping Unit Height	Base Clamping Unit Material	Blocking Arm Height	Blocking Arm Material	Blocking Arm Size	Blocking Arm Width	Blockout Height	Body Color	Body Depth	Body Height	Body Material	Body Width	Box Color	Box Depth	Box Height	Box Interior Features	Box Material	Box Width	Cabinet Color	Cabinet Depth	Cabinet Finish/Coating	Cabinet Height	Cabinet Interior Features	Cabinet Material	Cabinet Type	Cabinet Width	Cable & Chain Lockouts Included	Cable Color	Cable Diameter	Cable Finish/Coating	Cable Length	Cable Lockout Type	Cable Material	Circuit Breaker Lockout Type	Clear Window?	Cleat Depth	Cleat Height	Cleat Width	Color	Component Type	Cylinder Valve Lockout Type	Depth	Device Types in Kit	Door Type	Electrical Lockouts Included	Enables Industry Compliance	Finish/Coating	Fittings Accommodated	Fuse Size	Gate Valve Lockout Type	Group Lockout Boxes Included	Handle Thickness	Handle/Toggle Width	Hanging Hardware Included?	Hasp Body Color	Hasp Depth	Hasp Height	Hasp Material	Hasp Type	Hasp Width	Hasps Included	Height	High-visibility?	Hose Lockout Type	Includes	Inside Jaw Size	Installation Tool Required?	Label Language	Label Message	Labeled?	Labels Included	Lockable?	Lockout Box Color	Lockout Box Depth	Lockout Box Height	Lockout Box Material	Lockout Box Type	Lockout Box Width	Lockout Color	Lockout Depth	Lockout Diameter	Lockout Height	Lockout Length	Lockout Material	Lockout Size	Lockout Type	Lockout Width	Manuals & Training Materials Included	Material	Maximum Cord Diameter	Maximum Handle Thickness	Maximum Handle Width	Maximum Number of Padlocks	Maximum Number of Padlocks Attached	Maximum Number of Padlocks Stored	Maximum Pipe Diameter	Maximum Plug Diameter	Maximum Plug Length	Maximum Plug Size	Maximum Service Temperature	Maximum Shackle Diameter	Maximum Stem Diameter	Maximum Switch Width	Maximum Valve Size	Minimum Pipe Diameter	Minimum Service Temperature	Minimum Stem Diameter	Minimum Valve Size	Non-conductive Cable?	Non-conductive?	Number of Jaws	Number of Loops	Open or Closed Valve?	Padlocks Included	Pipe Diameter Range	Plug Lockout Type	Plug Voltage	Reverse Label Message	Rising Stem Knockout Hole Diameter	Risk Type	Service Temperature Range	Single-pole Lockout Type	Station Color	Station Depth	Station Features	Station Height	Station Material	Station Width	Steel Type	Stem Diameter Range	Storage Container Color	Storage Container Depth	Storage Container Finish/Coating	Storage Container Height	Storage Container Language	Storage Container Material	Storage Container Type	Storage Container Width	Tags Included	Thread Type	Title	Tool Color	Training Material Type	Type	Valve Lockouts Included	Valve Size Range	Valve Stem Hole Size	Valve Wheel Diameter	Video Format	Video Length	Voltage	Wall Switch Type	Width	With Cable?
Y384278	(5) 1-1/2 in Multiple Lockout Devices																																																			Mechanical Risk Lockouts																		(5) 1-1/2 in Lockout Hasps																											(1) Package of 25 Lockout Safety Booklets																										(6) Multi-Color Padlocks																	Black/Red on Yellow	4-1/2 in		30 in	English	Acrylic Plastic	Open-front Wall-mounted Station	24 in	(2) Packages of 10 Bilingual Lockout Tags with Ties															
Y384811																																											Single-Pole																																																																																						Electrical Risk																																		
Y384816																																											Multi-Pole Tie Bar												ANSI Z244OSHA 29 CFR 1910.147							0.42 in																										Red	0.81 in		1.87 in		ABS	1.87 x 2.6 x 0.81 in		2.6 in														0.3 in																			Electrical Risk		No-Hole Clamp-On																																
Y344529																																																				Electrical Risk Lockouts		(1) Electrical Power Kit with Lock																																																																																												Bag																	
Y351301																																																										1/4 in, 13/32 in, 9/16 in, 9/32 in																																					Fuse Blockout																																		Electrical Risk																																		
Y382811																																					Red		Plastic	6 ft		Steel																																																																													Not Non-Conductive		Single-loop								Mechanical Risk																																		
Y382812																																					Red		Plastic	10 ft		Steel																																																																													Not Non-Conductive		Single-loop								Mechanical Risk																																		
Y382884																												Black on Yellow	9-1/2 in		18 in	Shelves		Cabinet	14 in																																										English	LOCKOUT TAGOUT STATION	Label Attached		Lockable																																																																																		
Y382907																																																				Electrical Risk Lockouts																																																																																														Bag																	
Y382908																																																																																																																																																		Bag																	
Y382910																						Gray	6.5 in	4.5 in	Removable Tray	Polyethylene	12 in																																																																																																																																								
Y383611									Fits over Valve																																										4.07 in				ANSI Z244, OSHA 29 CFR 1910.147																5.29 in																	Green					Polypropylene									6			8 in				+80 °C					2 in	-20 °C				Not Non-Conductive			Open or Closed		2 to 8 in					Mechanical Risk	-20 to +80 °C																																3.05 in	
Y383709		Circuit Breaker Equipment																																																																																																																																																																	
Y384817																																											Single-Pole																																																																																						Electrical Risk		No-Hole Clamp-On																																
Y384924																																																							ANSI Z244, OSHA 29 CFR 1910.147									Red	1 in	4.77 in	Xenoy	Snap-In	2.5 in			Not High-Visibility			1.77 in				No Label Attached																							1								1.5 in									Non-Conductive	1									Mechanical Risk																																		
Y384932	(1) Durable Carrying Case																																			(2) 48 in Chain																Mechanical Risk Lockouts								(1) Carrying Case: 7 in H x 12 in W x 5 in D										(3) 1-1/2 in Steel Lockout Hasps																																																					(3) Red Padlocks																	Blue	5 in		7 in	English		Box	12 in	(3) Lockout Tags with Ties															
Y384943	(1) AC Sensor(1) Prinzing Red Metal Tool Box, (1) Prinzing Tool Box Divider-Lab Safety																																																			Mechanical Risk Lockouts																		(3) Yellow Lockout Hasps (1.5 in Diameter Jaws)										(1) Pad of Prinzing Lockout Tagout Checklists, (1) Prinzing Component Numeral Sheets, (1) Prinzing Lockout Miniposter(1) Prinzing OSHA Summary Sheet(1) Prinzing Label for Lockout Tool Box, (2) Prinzing Magnetic Danger Sign 4 in x 6 in																																											(3) Red Aluminum Padlocks																	Red					Metal	Box		(1) Prinzing Lockout Keychain(5) 7 in Red Cable Ties(5) Prinzing Individual Danger Tags															
Y384945	(1) Prinzing Plastic Box																																																			Electrical Risk Lockouts		(1) Prinzing "No Hole" Breaker Lockout																(1) Yellow Lockout Hasp (1.5 in Diameter Jaws)										(1) Prinzing Lockout Safety Card(1) Prinzing Label For LK432 PEI Logo																																											(1) Black Brady Safety Padlock																					English	Plastic	Box		(1) Prinzing Individual Danger Tag															
Y385320																																																							ANSI Z244OSHA 29 CFR 1910.147				Hinged																				No Label Attached									Green														2																											Mechanical Risk																												1 to 2.5 in						
Y385329																																																							ANSI Z244, OSHA 29 CFR 1910.147																																	Yellow																																									Mechanical Risk																												6.5 to 10 in						
Y383710	(1) Prinzing Lockout Cabinet																																			(100) Prinzing Red Cable Ties																Electrical Risk & Mechanical Risk Lockouts		(3) Prinzing Multi-Pole Breaker Lockouts(2) Prinzing Wall Switch Lockouts(2) Prinzing "No Hole" Breaker Lockouts(2) Prinzing 3-in-1 Plug Lockouts English																(6) Yellow Lockout Hasps (1.5 in Diameter Jaws)										(1) Prinzing Lockout Miniposter																	(1) Prinzing OSHA Summary Sheet																																																	Cabinet-style Wall-mounted Station		(25) Prinzing Danger Tags						(1) Small Prinzing Ball Valve Lockout(2) Prinzing Safetee Donuts 2-1/2 in to 5 in									
Y383712																																																				Mechanical Risk Lockouts																		(1) Hasp																																																					(4) Padlocks																	Black on Yellow				English		Open-front Wall-mounted Station		Tags															
Y383739	(1) Polyethylene Carrying Case																																																			Electrical Risk Lockouts		(2) Multi-Pole Breaker Lockouts(1) Large Plug Lockout, (3) Single-Pole Breaker Lockouts						(1) Lock Box: 7 in H x 12 in W x 5 in D										(3) 1-1/2 in Steel Lockout Hasps										(14) Padlock Identifier Stickers																	(1) Lockout Training Booklet																										(3) Blue Prinzing Padlocks																	Gray	5 in		7 in		Polyethylene	Box	12 in	(1) Package of 10 Lockout Tags with Ties															
Y384156																																																							OSHA 29 CFR 1910.147ANSI Z244																								No Label Attached									Clear	0.9 in		4.17 in		Polycarbonate			1.41 in														0.31 in		0.66 in																	Electrical Risk																																Toggle		
Y384280																																																				Mechanical Risk Lockouts																		(2) Hasps																																																					(6) Padlocks																	Black on Yellow				English		Open-front Wall-mounted Station		Tags with Ties															
Y384832																	Red	0.65 in	5.84 in	Glass-filled Polypropylene	2 in																Red	3/16 in	Plastic	10 ft	Tab-cinching	Steel													ANSI Z244, OSHA 29 CFR 1910.147																					Tool Not Required	English	CABLE LOCKOUT DEVICE WARNING	Label Attached																							6								9/32 in								Not Non-conductive											Mechanical Risk																																		With Cable
Y384897																																																				Electrical Risk & Mechanical Risk Lockouts		(1) Plug Lockout																(3) Hasps										(1) Bilingual Safety Poster																																											(4) Padlocks																	Black on Yellow				English		Open-front Wall-mounted Station		Tags with Ties						(1) Valve Lockout									
Y384937																																																				Electrical Risk Lockouts		(1) Multi-Pole Breaker Lockout, (2) Multi-Pole Breaker Lockouts, (2) Wall Switch Lockouts(1) Single-Pole Breaker Lockout(2) "No Hole" Single-Pole Breaker Lockouts																																																																																												No Storage Container																	
Y384938																																																				Mechanical Risk Lockouts																																																																																																															
Y384955	(1) Metal Carrying Case																																																			Mechanical Risk Lockouts																		(3) 1.5 in Steel Lockout Hasps										(1) Mini Bilingual Lockout Safety Poster(1) Number Sheet, (1) Pad of 50 Lockout/Tagout Checklist Forms(1) OSHA Summary, (2) Magnetic "Danger-Equipment Locked Out" Signs																																											(3) Keyed-Alike Red Prinzing Padlocks																						Metal	Box		(5) Lockout Tags with Ties(1) Lockout Key Chain															
Y384958	(1) Lockout Bag "Duffel Style"(1) 120-600 V AC Voltage Sensor																																			(1) Cable Lockout Device (CABLO)																Electrical Risk & Mechanical Risk Lockouts		(1) Breaker Lockout(1) Wall Switch Lockout, (2) Breaker Lockouts(1) Electrical Plug/Pneumatic Lockout(2) No Hole Breaker Lockouts																(2) 1-1/2 in Steel Lockout Hasp																											(1) Lockout Safety Training Booklet																										(3) Blue Prinzing Padlocks 3/4 in																	Blue				English		Bag		(10) "Danger Do Not Operate" Lockout Tags						(1) Safetee™ Donut 1 in to 2-1/2 in(1) Ball Valve Lockout(1) Safetee™ Donut 5 in to 6-1/2 in									
Y385325																																																							ANSI Z244, OSHA 29 CFR 1910.147				Hinged																				No Label Attached									Green														2																											Mechanical Risk																												5 to 6.5 in						
Y385326																																																							ANSI Z244, OSHA 29 CFR 1910.147				Hinged																				No Label Attached									Yellow														2																											Mechanical Risk																												5 to 6.5 in						
Y385327																																																							ANSI Z244OSHA 29 CFR 1910.147																																	Blue																																									Mechanical Risk																												6.5 to 10 in						
Y385333																																																							ANSI Z244OSHA 29 CFR 1910.147																																	Yellow																																									Mechanical Risk																												10 to 13 in						
Y389415	(1) Carrying Case																																			(1) 48 in Chain																								(1) Carrying Case: 7 in H x 12 in W x 5 in D										(3) 1-1/2 in Steel Lockout Hasps																																																					(3) Red Padlocks																	Blue	5 in		7 in	English		Box	12 in	(3) Lockout Tags with Ties															
Y391572																																																							ANSI Z244OSHA 29 CFR 1910.147				Hinged																				No Label Attached									Red														2																											Mechanical Risk																												5 to 6.5 in						
Y402243																																																		Cylinder Tank																																						Red					Polystyrene									1																	Not Non-Conductive										Mechanical Risk																				Unthreaded							1.25 in							
Y405808																																																																													English	LOCKOUT STATION	Label Attached																																																					Yellow	3/16 in	Hooks, Padlock Rails, Pegboard, Shelves, Storage Compartments	13-1/2 in	Acrylic	13-1/2 in																										
Y405811																																																																													English	LOCKOUT STATION	Label Attached																																																					Red on White	5 in	Hooks, Pegboard	26 in	Polystyrene	19-1/2 in																										
Y406326																																																				Mechanical Risk Lockouts																		(1) 1-1/2 in Metal Hasps(1) 1 in Metal Hasps																																																					(5) Steel Padlocks																	Black on Yellow	3/16 in		11-1/2 in	English	Acrylic	Open-front Wall-mounted Station	15-1/2 in	(12) Heavy Duty Tags															
Y406331																																																				Mechanical Risk Lockouts																		(3) 1-1/2 in Hasps(3) 1 in Hasps																																																					(36) Keyed-Different Safety Padlocks																	Black on Yellow			21-1/2 in	English	Acrylic	Open-front Wall-mounted Station	23-1/2 in	(36) Heavy Duty Tags															
Y385332																																																							ANSI Z244, OSHA 29 CFR 1910.147																																	Green																																									Mechanical Risk																												10 to 13 in						
Y397392																																												Clear Window											ANSI Z244, OSHA 29 CFR 1910.147	Powder-coated																					English	GROUP LOCKOUT				Black on Yellow	14 in	2.9 in	Steel	Wall Mount	5.9 in																10																																			Mild Sheet															Group Lockout Box										
Y405805																																																																													English	LOCKOUT STATION	Label Attached																																																					Yellow	3/16 in	Hooks, Padlock Rails, Pegboard, Shelves, Storage Compartments	11-1/2 in	Acrylic	15-1/2 in																										
Y405823																																																																													English	LOCKOUT STATION	Label Attached																																																					Red on White	5 in	Hooks, Pegboard	26 in	Polystyrene	19-1/2 in																										
Y405825																																																																																																																																												Red on White	5 in		26 in	English	Polystyrene	Cabinet-style Wall-mounted Station	19-1/2 in																
Y405826																																																																													English	LOCKOUT STATION	Label Attached																																																					Red on White	4 in	Hooks, Pegboard	18 in	Polystyrene	12 in																										
Y405870																																												No Clear Window											ANSI Z244, OSHA 29 CFR 1910.147	Powder-coated																					English	LOCK BOX LOCK OUT FOR SAFETY				White on Red	8.9 in	6 in	Steel	Portable	7 in																13	40																																		Mild Sheet															Group Lockout Box										
Y406329																																																				Mechanical Risk Lockouts																		(1) 1-1/2 in Metal Hasps(1) 1 in Metal Hasps																																																					(20) Brady Safety Padlocks																	Black on Yellow	3/16 in		23-1/2 in	English	Acrylic	Open-front Wall-mounted Station	11-1/2 in	(12) Heavy Duty Tags															
Y385330																																																							ANSI Z244, OSHA 29 CFR 1910.147																																	Red																																									Mechanical Risk																												10 to 13 in						
Y389412																																																																																																																																												Blue																							
Y399534			Black/Red/White/Yellow on Blue	8-1/2 in	10 in		Polyester	16-1/2 in																																																																																																																																																											
Y399685																																																																																															Fuse Blockout																																		Electrical Risk																																		
Y405810																																																																													English	LOCKOUT STATION	Label Attached																																																					Yellow	3/16 in	Hooks, Padlock Rails, Pegboard, Shelves, Storage Compartments	21-1/2 in	Acrylic	23-1/2 in																										
Y406327																																																				Mechanical Risk Lockouts																		(1) 1 in Metal Hasps(1) 1-1/2 in Metal Hasps																																																					(10) Brady Safety Padlocks																	Black on Yellow	3/16 in		13-1/2 in	English	Acrylic	Open-front Wall-mounted Station	13-1/2 in	(12) Heavy Duty Tags															
Y406328																																																				Mechanical Risk Lockouts																		(1) 1-1/2 in Metal Hasps(1) 1 in Metal Hasps																																																					(10) Brady Safety Padlocks																	Black on Yellow	3/16 in		13-1/2 in	English	Acrylic	Open-front Wall-mounted Station	13-1/2 in	(12) Heavy Duty Tags															
Y406330																																																				Mechanical Risk Lockouts																		(2) 1-1/2 in Hasps(2) 1 in Hasps																																																					(20) Steel Padlocks																	Black on Yellow			23-1/2 in	English	Acrylic	Open-front Wall-mounted Station	11-1/2 in	(24) Heavy Duty Tags															
Y406657																																								16 ft		Nylon																																																																												Non-conductive																																													With Cable
Y406364																																																							ANSI Z244, OSHA 29 CFR 1910.147				Two-Piece Adjustable																		English/French/Spanish	DANGER LOCKED OUT DO NOT OPERATE	Label Attached									Red		6.68 in	2.13 in		Polypropylene	6.68 x 8.23 x 2.13 in		8.23 in						3							+80 °C						-20 °C														Mechanical Risk	-20 to +80 °C																											1 to 6.5 in						
Y406499																																																	Lockout with Arm																																																																					Cable Not Non-Conductive											Mechanical Risk																																		
Y406513										5.6 in	Fiberglass Reinforced Nylon		Fiberglass Reinforced Nylon																																				Base Clamping Unit						ANSI Z244, OSHA 29 CFR 1910.147																																	Red										Fiberglass Reinforced Nylon (Locking Piece)/Stainless Steel (Teeth, Screw, Pin, Spring)/Brass (Threaded Insert)		0.6 in	1 in	2								0.39 in								Cable Not Non-conductive											Mechanical Risk									Industrial-grade																									
Y406521										6.38 in	Fiberglass Reinforced Nylon	7.05 in	Fiberglass Reinforced Nylon	8.82 x 7.05 in	8.82 in																							1/8 in				Nylon							Blocking ArmBase Clamping UnitCable Attachment						ANSI Z244, OSHA 29 CFR 1910.147																																	Red										Fiberglass Reinforced Nylon (Locking Piece)/Stainless Steel (Teeth, Screw, Pin, Spring)/Brass (Threaded Insert)		1.1 in	1.6 in	2								0.39 in								Cable Non-Conductive											Mechanical Risk									Industrial Grade																									
Y406523										5.6 in	Fiberglass Reinforced Nylon	6.05 in	Fiberglass Reinforced Nylon	6.2 x 6.05 in	6.2 in																							1/8 in		8 ft		Nylon							Base Clamping Unit, Blocking ArmCable Attachment						ANSI Z244, OSHA 29 CFR 1910.147																																	Red										Fiberglass Reinforced Nylon (Locking Piece)/Stainless Steel (Teeth, Screw, Pin, Spring)/Brass (Threaded Insert)		0.6 in	1 in	2								0.39 in								Cable Non-Conductive											Mechanical Risk									Industrial Grade																									
Y406643										5.6 in	Fiberglass Reinforced Nylon	6.05 in	Fiberglass Reinforced Nylon	6.2 x 6.05 in	6.2 in																							1/8 in		8 ft		Metal							Cable AttachmentBase Clamping UnitBlocking Arm						ANSI Z244, OSHA 29 CFR 1910.147																																	Red										Fiberglass Reinforced Nylon (Locking Piece)/Stainless Steel (Teeth, Screw, Pin, Spring)/Brass (Threaded Insert)		0.6 in	1 in	2								0.39 in								Cable Not Non-Conductive											Mechanical Risk									Industrial Grade																									
Y406498										6.38 in	Fiberglass Reinforced Nylon		Fiberglass Reinforced Nylon																																				Base Clamping Unit						OSHA 29 CFR 1910.147ANSI Z244																																	Red										Fiberglass Reinforced Nylon (Locking Piece)/Stainless Steel (Teeth, Screw, Pin, Spring)/Brass (Threaded Insert)		1.1 in	1.6 in	2								3/8 in								Cable Not Non-conductive											Mechanical Risk									Industrial-grade																									
Y406645		Cable Spool																																																																																																Metal																																																					Red												
Y406647																																								16 ft																																																																																																																											With Cable
Y406716																																												Clear Window											ANSI Z244, OSHA 29 CFR 1910.147																			12 (Hook)				No Message on Box				Red	4-1/4 in	7-1/2 in	Plastic	Portable	8-1/2 in																16																																																		Group Lockout Box										
Y406747																																					Red	1/8 in	Nylon	8 ft		Steel																																																																													Non-Conductive		Unlooped								Mechanical Risk																																		
Y406749																																					Red	3/16 in	Vinyl	8 ft		Metal																																																																													Not Non-Conductive		Unlooped								Mechanical Risk																																		
Y406750																																					Red	1/8 in	Nylon	12 ft		Steel																																																																													Non-Conductive		Unlooped								Mechanical Risk																																		
Y406962		Lock Rail																																											0.7 (Rail Depth) in	8 (Rail Height) in	0.8 (Rail Width) in	Yellow																																																		Fiberglass Reinforced Nylon																																																														480/600 V			
Y406964		Lock Rail																																											0.7 (Rail Depth) in	8 (Rail Height) in	0.8 (Rail Width) in	Yellow																																																		Fiberglass Reinforced Nylon																																																														480/600 V			
Y383610									Fits over Valve																																										4.07 in				ANSI Z244, OSHA 29 CFR 1910.147																5.29 in																	Blue					Polypropylene									6			8 in				+80 °C					2 in	-20 °C				Not Non-Conductive			Open or Closed		2 to 8 in					Mechanical Risk	-20 to +80 °C																																3.05 in	
Y383720																																																				Electrical Risk Lockouts		(1) Large 3-in-1 Plug Lockout																																																																					(1) Blue Safety Padlock																	Black on Yellow	4 in		8-1/2 in	English	Acrylic	Open-front Wall-mounted Station	8-1/2 in	(1) Lockout Tag with Tie															
Y383726	(1) Carrying Case																																			(1) 48 in Chain																Mechanical Risk Lockouts								(1) Carrying Case: 7 in H x 12 in W x 5 in D										(3) 1-1/2 in Steel Lockout Hasps																																																					(3) Red Padlocks																	Blue	5 in		7 in	English		Box	12 in	(3) Lockout Tags with Ties															
Y383728																																				(1) Lockout Key Chain																Mechanical Risk Lockouts																		(3) 1.5 in Steel Lockout Hasps										(1) Mini Bilingual Lockout Safety Poster(1) Number Sheet, (1) Pad of 50 Lockout/Tagout Checklist Forms(1) OSHA Summary, (2) Magnetic "Danger-Equipment Locked Out" Signs																																																												Red with Black				English	Metal	Box		(5) Lockout Tags with Ties															
Y383809																																																																																								Red																																									Electrical Risk																																		
Y384906																																																																															Label Attached																																																					Yellow			30 in		23-3/4 in																										
Y384923																																																																																																																																																									Group Lockout Box										
Y384933																																																				Mechanical Risk Lockouts																																																																																																															
Y384960	(1) Pouch																																																			Electrical Risk Lockouts		(4) Circuit Breaker Lockout																(1) Yellow Lockout Hasp																																																					(1) Padlock with Key																	Red				English		Bag		(5) Danger Sign Tags with Ties															
Y406648																																								20 ft																																																																																																																											With Cable
Y406655		Cable Spool																																																																																																Nylon/Steel																																																					Red												
Y406717																																												Clear Window																														(6) Hooks								Red	5-1/2 in	6-1/5 in	Urethane Resin	Wall Mount	4 in																	8																																																	Group Lockout Box										
Y406773																																					Red	1/8 in	Nylon	16 ft		Steel																																																																													Non-Conductive		Unlooped								Mechanical Risk																																		
Y406949		Lock Rail																																											0.7 (Rail Depth) in	4 (Rail Height) in	0.8 (Rail Width) in	Yellow																																																		Fiberglass Reinforced Nylon																																																														480/600 V			
Y406966		Blocking Bar Holder																																														Yellow																																																																																																																480/600 V			
Y407209	(1) Lockout Belt Pouch																																																			Electrical Risk Lockouts		(1) 120/277 V Clamp-On Breaker Lockout with Cleat, (1) 480/600 V Clamp-On Breaker Lockout with Cleat(1)120 V Snap-On Breaker Lockout(1) Oversized Breaker Lockout, (1) Universal Multi-Pole Breaker Lockout						(1) Belt Pouch: 4-3/4 in H x 7-1/2 in W x 2 in D																																																																																Red with Black	2 in		4-3/4 in	English	Nylon	Bag	7-1/2 in																
Y407210	(1) Cleat for 480/600 V Clamp-On Lockout(1) Cleat for 120/277 V Clamp-On Lockout																																																			Electrical Risk Lockouts		(1) Oversized Breaker Lockout, (1) Universal Multi-Pole Breaker Lockout(1) 120 V Snap-On Breaker Lockout, (1) 120/277 V Clamp-On Breaker Lockout with Cleat, (1) 480/600 V Clamp-On Breaker Lockout with Cleat																																																																					(2) Keyed-Different Safety Padlocks																	Black on Red				English		Bag		(2) Heavy Duty Reusable Lockout Tags with Nylon Cable Ties															
Y406965		Mounting Rail																																											0.7 (Rail Depth) in	4 (Rail Height) in	0.8 (Rail Width) in	Yellow																																																		Fiberglass Reinforced Nylon																																																														480/600 V			
Y407211	(1) Cleat for 120/277 V Clamp-On Lockout(1) Cleat for 480/600 V Clamp-On Lockout																																																			Electrical Risk Lockouts		(1) Oversized Breaker Lockout, (1) Universal Multi-Pole Breaker Lockout(1) 120 V Snap-On Breaker Lockout, (1) 120/277 V Clamp-On Breaker Lockout with Cleat, (1) 480/600 V Clamp-On Breaker Lockout with Cleat																																																																					(2) Keyed-Different Steel Padlocks																	Black on Red				English		Bag		(2) Heavy Duty Reusable Lockout Tags with Nylon Cable Ties															
Y407214	(1) Lockout Belt Pouch(2) Cleats for 120/277 V Clamp-On Lockout																																																			Electrical Risk Lockouts		(2) 120/277 V Clamp-On Breaker Lockouts with Cleat(2) 120 V Snap-On Breaker Lockouts(2) Universal Multi-Pole Breaker Lockouts with Cleat																																																																					(2) Keyed-Different Safety Padlocks																	Black on Red	2 in		4-3/4 in	English	Nylon	Bag	7-1/2 in	(2) Heavy Duty Reusable Lockout Tags with Nylon Cable Ties															
Y407215	(2) Cleats for 120/277 V Clamp-On Lockout(1) Lockout Belt Pouch																																																			Electrical Risk Lockouts		(2) 120 V Snap-On Breaker Lockouts(2) Universal Multi-Pole Breaker Lockouts with Cleat(2) 120/277 V Clamp-On Breaker Lockouts with Cleat																																																																					(2) Keyed-Different Steel Padlocks																	Black on Red	2 in		4-3/4 in	English	Nylon	Bag	7-1/2 in	(2) Heavy Duty Reusable Lockout Tags with Nylon Cable Ties															
Y407216	(2) Cleats for 120/277 V Clamp-On Lockout(1) Lockout Tool Box, (2) Cleats for 480/600 V Clamp-On Lockout																																			(1) Mini Cable Lockout																Electrical Risk Lockouts		(2) 120/277 V Clamp-On Breaker Lockouts with Cleat, (2) 480/600 V Clamp-On Breaker Lockouts with Cleat(1) Universal Multi-Pole Breaker Lockout(1) Oversized Breaker Lockout, (2) 120 V Snap-On Breaker Lockouts																																																																																						Gray	6-1/2 in		5-1/4 in		Copolymer Resin	Box	14 in																
Y407217	(1) Lockout Tool Box(2) Cleats for 480/600 V Clamp-On Lockout(2) Cleats for 120/277 V Clamp-On Lockout																																			(1) Mini Cable Lockout																Electrical Risk Lockouts		(2) 120 V Snap-On Breaker Lockouts(1) Oversized Breaker Lockout, (1) Universal Multi-Pole Breaker Lockout(2) 120/277 V Clamp-On Breaker Lockouts with Cleat, (2) 480/600 V Clamp-On Breaker Lockouts with Cleat																																																																					(2) Keyed-Different Safety Padlocks																	Gray	6-1/2 in		5-1/4 in		Copolymer Resin	Box	14 in	(2) Heavy Duty Reusable Lockout Tags with Nylon Cable Ties															
Y384961																																																				Electrical Risk Lockouts																																																																																														Bag																	
Y384967	(1) Box																																			(1) Cable Lockout with Cable																Electrical Risk & Mechanical Risk Lockouts		(1) Wall Switch Lockout, (10) Circuit Breaker Lockout																(3) Yellow Lockout Hasps										(3) Label																	(1) Booklet																										(3) Padlocks																	Gray						Box		DO NOT OPEN VALVE Tags, Danger Sign Tags"DO NOT CLOSE VALVE" TagsLockout Safety Tag, Ties						(2) Valve Lockouts(2) Gate Valve Lockouts									
Y385324																																																							ANSI Z244, OSHA 29 CFR 1910.147				Hinged																				No Label Attached									Blue														2																											Mechanical Risk																												5 to 6.5 in						
Y405809																																																																													English	LOCKOUT STATION	Label Attached																																																					Yellow	3/16 in	Hooks, Padlock Rails, Pegboard, Shelves, Storage Compartments	23-1/2 in	Acrylic	11-1/2 in																										
Y405822																																																																													English	LOCKOUT STATION	Label Attached																																																					Red on White	5-1/4 in	Hooks, Pegboard	30 in	Polystyrene	25 in																										
Y406325																																																				Mechanical Risk Lockouts																		(1) 1 in Metal Hasps(1) 1-1/2 in Metal Hasps																																																					(5) Brady Safety Padlocks																	Black on Yellow	3/16 in		11-1/2 in	English	Acrylic	Open-front Wall-mounted Station	15-1/2 in	(12) Heavy Duty Tags															
Y406352																																																				Mechanical Risk Lockouts																		(3) 1 in Hasps(3) 1-1/2 in Hasps																																																					(36) Steel Padlocks																	Black on Yellow			21-1/2 in	English	Acrylic	Open-front Wall-mounted Station	23-1/2 in	(36) Heavy Duty Tags															
Y406515																																																	Lockout with Arm																																																																					Cable Not Non-Conductive											Mechanical Risk																																		
Y407212	(2) Cleats for 120/277 V Clamp-On Lockout(1) Lockout Belt Pouch																																																			Electrical Risk Lockouts		(2) 120/277 V Clamp-On Breaker Lockouts with Cleat(2) Universal Multi-Pole Breaker Lockouts with Cleat(2) 120 V Snap-On Breaker Lockouts																																																																																						Black on Red	2 in		4-3/4 in	English	Nylon	Bag	7-1/2 in																
Y407220	(2) Cleats for 480/600 V Clamp-On Lockout(1) Extra-Large Lockout Toolbox, (1) Red Belt Pouch, (2) Cleats for 120/277 V Clamp-On Lockout																																			(1) Mini Cable Lockout																Electrical Risk Lockouts		(2) 120 V Snap-On Breaker Lockouts(1) 3-in-1 Plug Lockout, (1) Wall Switch Lockout, (2) 480/600 V Clamp-On Breaker Lockouts with Cleat(1) Oversized Breaker Lockout, (1) Universal Multi-Pole Breaker Lockout(2) 120/277 V Clamp-On Breaker Lockouts with Cleat																																																																					(2) Keyed-Different Safety Padlocks																	Gray	8 in		7.5 in		Polyethylene	Box	14 in	(2) Heavy Duty Reusable Lockout Tags with Nylon Cable Ties															
Y407229	(1) Extra-Large Lockout Toolbox(1) Lockout Belt Pouch(1) Cleat for 480/600 V Clamp-On Lockout																																			(1) Mini Cable Lockout																Electrical Risk & Mechanical Risk Lockouts		(1) Universal Multi-Pole Breaker Lockout(1) 120 V Snap-On Breaker Lockout, (1) 120/277 V Clamp-On Breaker Lockout with Cleat, (1) 480/600 V Clamp-On Breaker Lockout with Cleat(1) 110 V Plug Lockout, (1) Wall Switch Lockout																																																																					(2) Keyed-Different Steel Padlocks																	Gray	8 in		7.5 in		Polyethylene	Box	14 in	(2) Heavy Duty Reusable Lockout Tags						(1) 1 in to 6-1/2 in Adjustable Gate Valve Lockout, (1) 1-1/4 in to 3 in Ball Valve Lockout(1) 1/4 in to 1 in Ball Valve Lockout									
